label,mid_x,mid_y,width,height,confidence,x1,y1,x2,y2
camera_3@table#001,1658.0,411.5,418,427,0.3459073305130005,1449,198,1867,625
camera_3@table#002,303.0,424.5,386,409,0.5854523181915283,110,220,496,629
camera_3@table#003,150.5,814.5,299,501,0.7462928891181946,1,564,300,1065
camera_3@table#004,1788.0,773.5,260,527,0.6405218839645386,1658,510,1918,1037
camera_3@table#005,1451.5,111.5,305,127,0.6477992534637451,1299,48,1604,175
camera_3@table#006,476.0,130.5,280,131,0.7015368938446045,336,65,616,196
camera_3@table#007,1420.0,32.5,92,55,0.07324391603469849,1374,5,1466,60
