label,mid_x,mid_y,width,height,confidence,x1,y1,x2,y2
camera_6@table#001,1220.0,819.5,1396,493,0.757714569568634,522,573,1918,1066
camera_6@table#002,1510.0,358.5,798,271,0.8435809016227722,1111,223,1909,494
camera_6@table#003,380.5,293.5,473,333,0.6990546584129333,144,127,617,460
camera_6@table#004,743.5,121.0,357,206,0.6202877163887024,565,18,922,224
camera_6@table#005,1349.0,115.5,258,217,0.29033467173576355,1220,7,1478,224
camera_6@table#006,72.0,414.0,144,150,0.5376591682434082,0,339,144,489
camera_6@table#007,933.0,43.0,184,86,0.24046798050403595,841,0,1025,86
