folder_name,table_label,coordinates
camera_6,table_001,"(1220,817)"
camera_6,table_002,"(1512,358)"
camera_6,table_003,"(386,285)"
camera_6,table_004,"(876,123)"
camera_6,table_005,"(931,134)"
camera_6,table_006,"(1195,138)"
camera_6,table_007,"(915,179)"
camera_6,table_008,"(1326,45)"
