folder_name,table_label,coordinates
camera_3,table_001,"(1648,419)"
camera_3,table_002,"(217,632)"
camera_3,table_003,"(294,407)"
camera_3,table_004,"(1806,815)"
camera_3,table_005,"(1453,113)"
