folder_name,table_label,coordinates
camera_7,table_001,"(749,857)"
camera_7,table_002,"(1607,808)"
camera_7,table_003,"(1672,375)"
camera_7,table_004,"(590,470)"
camera_7,table_005,"(243,680)"
camera_7,table_006,"(752,409)"
camera_7,table_007,"(602,396)"
camera_7,table_008,"(788,254)"
camera_7,table_009,"(901,236)"
camera_7,table_010,"(940,149)"
camera_7,table_011,"(751,121)"
camera_7,table_012,"(746,126)"
