Station ID,Table Position,Chair Positions
Station #5,"(258, 240)","[(247, 325), (196, 186), (309, 262)]"
Station #6,"(980, 174)","[(1056, 262), (953, 265), (895, 203)]"
Station #7,"(900, 384)","[(862, 302), (953, 265)]"
Station #8,"(838, 118)","[(794, 128), (895, 203)]"
Station #9,"(258, 275)","[(247, 325), (196, 186), (309, 262)]"
Station #1,"(482, 490)","[(453, 574), (492, 341)]"
Station #2,"(406, 154)","[(533, 174), (308, 257), (497, 104)]"
Station #3,"(583, 247)","[(535, 296), (646, 296), (492, 341), (533, 174), (640, 165)]"
Station #4,"(122, 498)","[(224, 440), (89, 574), (96, 367)]"
Station #5,"(257, 284)","[(247, 325), (308, 257), (195, 186)]"
Station #6,"(981, 174)","[(1057, 262), (954, 265), (895, 203), (1009, 131)]"
Station #8,"(838, 118)","[(794, 127), (895, 203)]"
Station #9,"(900, 385)","[(861, 302), (954, 265)]"
Station #10,"(257, 242)","[(247, 325), (308, 257), (195, 186)]"
Station #2,"(408, 154)","[(533, 174), (308, 256)]"
Station #3,"(584, 253)","[(535, 296), (646, 299), (492, 341), (533, 174), (641, 165)]"
Station #4,"(979, 174)","[(954, 265), (1057, 262), (895, 203), (1009, 131)]"
Station #5,"(122, 497)","[(224, 441), (94, 573), (98, 367)]"
Station #6,"(257, 283)","[(247, 325), (308, 256), (196, 187)]"
Station #7,"(900, 445)","[(923, 534), (862, 302)]"
Station #9,"(257, 242)","[(247, 325), (308, 256), (196, 187)]"
Station #10,"(901, 385)","[(862, 302), (954, 265)]"
